Graph Name,Density,Node Count,Edge Count,DFS Time (ms),BFS Time (ms),Start Node
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_461.txt,0.005985483642162083,1493,13333,5.309,5.624,111
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_174.txt,0.006630425829832798,1350,12075,4.394,4.835,792
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_466.txt,0.007531380753138075,1196,10764,4.155,4.92,539
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_175.txt,0.006605258107848781,1351,12047,4.848,5.128,469
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_467.txt,0.006182222764700911,1460,13169,5.199,5.477,1111
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_176.txt,0.006575022037221055,1362,12188,4.6,5.176,109
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_464.txt,0.006163314339918075,1454,13021,5.555,5.698,801
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_177.txt,0.0063310816679431805,1424,12829,4.669,5.038,1173
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_465.txt,0.006822775795798767,1319,11861,4.495,5.177,890
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_178.txt,0.008348707288553981,1075,9639,2.938,4.187,733
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_179.txt,0.008449664787580247,1061,9503,3.399,3.79,505
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_18.txt,0.007483364528450363,1202,10803,4.368,4.558,1032
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_180.txt,0.008137230616794649,1101,9855,3.872,4.32,517
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_181.txt,0.007423698604377366,1212,10896,3.797,4.201,137
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_182.txt,0.00673754257921287,1331,11927,5.223,5.456,260
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_308.txt,0.00668636682360012,1341,12015,4.942,4.823,155
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_183.txt,0.008377285009918413,1074,9654,3.694,4.727,584
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_309.txt,0.006130201471735249,1462,13094,4.997,4.683,1184
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_184.txt,0.00665665029800538,1346,12051,4.217,4.547,1232
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_185.txt,0.0061536099086977325,1462,13144,5.44,5.844,460
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_186.txt,0.006750438074831352,1328,11896,4.525,4.33,702
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_187.txt,0.007433898082263816,1209,10857,4.384,4.856,41
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_188.txt,0.006031665111974026,1488,13346,4.733,5.563,708
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_302.txt,0.008273859049824032,1078,9606,3.936,4.474,466
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_189.txt,0.00629858342072493,1427,12817,4.51,5.152,1250
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_303.txt,0.008488618411604193,1056,9457,3.585,3.756,565
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_19.txt,0.006258704264166728,1426,12718,5.336,4.426,643
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_190.txt,0.006692488341291307,1341,12026,5.39,5.334,322
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_279.txt,0.006834756562668602,1312,11756,4.947,5.178,495
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_316.txt,0.007246234626523612,1237,11079,4.097,5.019,652
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_191.txt,0.00771668166987167,1157,10321,4.225,4.568,1106
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_278.txt,0.006140522304392993,1463,13134,4.941,5.03,26
